Designator,Mid X,Mid Y,Rotation,Layer
C1,162.0,-117.2,90.0,top
C2,178.14375,-109.9875,270.0,top
C3,173.49375,-109.9875,270.0,top
C4,169.85,-105.325,270.0,top
D1,175.88125,-115.8125,0.0,top
F1,175.88125,-121.66875,180.0,top
R1,161.45,-104.4,270.0,top
R2,158.975,-104.4,270.0,top
RV1,155.05,-104.4,180.0,top
U1,175.88125,-103.2375,90.0,top
